allwei, RB, RT, LB, LT, X_Pos, Y_Pos
-0.01454464,-0.01885417,0.03016667,-0.02585714,0,-2.555556,5.148148
-0.02082936,0,0.03016667,-0.02585714,-0.02513889,-3.896552,1.482759
-0.02082936,0,0.03016667,-0.02585714,-0.02513889,-3.896552,1.482759
0,0,0,0,0,0,0
-0.01454464,-0.01885417,0.03016667,-0.02585714,0,-2.555556,5.148148
-0.02082936,0,0.03016667,-0.02585714,-0.02513889,-3.896552,1.482759
-0.001975199,0.01885417,0.03016667,-0.02585714,-0.02513889,-50.63634,6.090906
0.004309524,0,0.03016667,-0.02585714,0,13,-13
-0.02082936,0,0.03016667,-0.02585714,-0.02513889,-3.896552,1.482759
-0.02082936,0,0.03016667,-0.02585714,-0.02513889,-3.896552,1.482759
-0.02082936,0,0.03016667,-0.02585714,-0.02513889,-3.896552,1.482759
-0.03214186,0.01885417,0,-0.02585714,-0.02513889,-2.173184,-0.5642458
-0.02082936,0,0.03016667,-0.02585714,-0.02513889,-3.896552,1.482759
-0.02082936,0,0.03016667,-0.02585714,-0.02513889,-3.896552,1.482759
-0.001975199,0.01885417,0.03016667,-0.02585714,-0.02513889,-50.63634,6.090906
-0.02082936,0,0.03016667,-0.02585714,-0.02513889,-3.896552,1.482759
-0.02082936,0,0.03016667,-0.02585714,-0.02513889,-3.896552,1.482759
-0.001975199,0.01885417,0.03016667,-0.02585714,-0.02513889,-50.63634,6.090906
0.004309524,0,0.03016667,-0.02585714,0,13,-13
-0.02082936,0,0.03016667,-0.02585714,-0.02513889,-3.896552,1.482759
0.02388194,0.01885417,0.03016667,0,-0.02513889,3.105263,0.5789474
0.0093373,0,0.06033333,-0.02585714,-0.02513889,11.92308,-6.538462
0.03447619,0,0.06033333,-0.02585714,0,2.5,-2.5
0.02316369,0.01885417,0.03016667,-0.02585714,0,3.232558,-1.604651
0.004309524,0,0.03016667,-0.02585714,0,13,-13
0.0093373,0,0.06033333,-0.02585714,-0.02513889,11.92308,-6.538462
0.005027777,0,0.03016667,0,-0.02513889,11,-1
0.004309524,0,0.03016667,-0.02585714,0,13,-13
0.01005555,0,0.06033333,0,-0.05027778,11,-1
0.005027777,0,0.03016667,0,-0.02513889,11,-1
0.005027777,0,0.03016667,0,-0.02513889,11,-1
-0.001975199,0.01885417,0.03016667,-0.02585714,-0.02513889,-50.63634,6.090906
-0.001975199,0.01885417,0.03016667,-0.02585714,-0.02513889,-50.63634,6.090906
0.005027777,0,0.03016667,0,-0.02513889,11,-1
-0.02082936,0,0.03016667,-0.02585714,-0.02513889,-3.896552,1.482759
0.004309524,0,0.03016667,-0.02585714,0,13,-13
-0.02082936,0,0.03016667,-0.02585714,-0.02513889,-3.896552,1.482759
0.004309524,0,0.03016667,-0.02585714,0,13,-13
0.005027777,0,0.03016667,0,-0.02513889,11,-1
-0.001975199,0.01885417,0.03016667,-0.02585714,-0.02513889,-50.63634,6.090906
0.004309524,0,0.03016667,-0.02585714,0,13,-13
-0.02082936,0,0.03016667,-0.02585714,-0.02513889,-3.896552,1.482759
-0.02082936,0,0.03016667,-0.02585714,-0.02513889,-3.896552,1.482759
-0.02082936,0,0.03016667,-0.02585714,-0.02513889,-3.896552,1.482759
-0.02082936,0,0.03016667,-0.02585714,-0.02513889,-3.896552,1.482759
0.0093373,0,0.06033333,-0.02585714,-0.02513889,11.92308,-6.538462
0.0093373,0,0.06033333,-0.02585714,-0.02513889,11.92308,-6.538462
0.0093373,0,0.06033333,-0.02585714,-0.02513889,11.92308,-6.538462
-0.001975199,0.01885417,0.03016667,-0.02585714,-0.02513889,-50.63634,6.090906
-0.02082936,0,0.03016667,-0.02585714,-0.02513889,-3.896552,1.482759
0.004309524,0,0.03016667,-0.02585714,0,13,-13
0.005027777,0,0.03016667,0,-0.02513889,11,-1
